,Source,Target,Type,Weight
0,102,104,Undirected,5
1,102,28,Undirected,2
2,109,71,Undirected,2
3,109,28,Undirected,1
4,71,28,Undirected,2
5,36,83,Undirected,1
6,36,12,Undirected,1
7,86,28,Undirected,1
8,125,112,Undirected,47
9,109,100,Undirected,4
10,43,109,Undirected,46
11,20,100,Undirected,2
12,20,120,Undirected,2
13,100,120,Undirected,44
14,43,70,Undirected,2
15,3,36,Undirected,1
16,3,27,Undirected,1
17,36,27,Undirected,1
18,7,24,Undirected,3
19,7,104,Undirected,1
20,24,104,Undirected,4
21,106,119,Undirected,10
22,124,71,Undirected,1
23,108,124,Undirected,1
24,108,119,Undirected,2
25,124,119,Undirected,1
26,24,122,Undirected,5
27,71,108,Undirected,4
28,119,24,Undirected,2
29,119,112,Undirected,73
30,125,119,Undirected,85
31,51,39,Undirected,1
32,43,85,Undirected,2
33,43,88,Undirected,20
34,53,76,Undirected,1
35,59,106,Undirected,16
36,36,108,Undirected,2
37,36,115,Undirected,5
38,9,122,Undirected,1
39,9,24,Undirected,4
40,4,59,Undirected,19
41,4,104,Undirected,3
42,104,59,Undirected,5
43,9,66,Undirected,2
44,9,124,Undirected,1
45,66,124,Undirected,9
46,87,37,Undirected,1
47,108,28,Undirected,8
48,108,7,Undirected,3
49,108,37,Undirected,5
50,28,7,Undirected,1
51,28,37,Undirected,8
52,7,37,Undirected,1
53,108,104,Undirected,3
54,93,43,Undirected,5
55,93,88,Undirected,3
56,93,76,Undirected,2
57,43,76,Undirected,14
58,88,76,Undirected,4
59,40,9,Undirected,1
60,24,102,Undirected,9
61,22,28,Undirected,1
62,99,94,Undirected,1
63,59,24,Undirected,6
64,7,112,Undirected,1
65,7,119,Undirected,2
66,112,116,Undirected,1
67,119,116,Undirected,1
68,108,116,Undirected,1
69,33,93,Undirected,1
70,60,104,Undirected,1
71,60,119,Undirected,1
72,104,119,Undirected,6
73,122,17,Undirected,2
74,17,18,Undirected,1
75,17,119,Undirected,1
76,17,104,Undirected,1
77,17,36,Undirected,1
78,107,75,Undirected,1
79,4,112,Undirected,5
80,4,71,Undirected,1
81,112,104,Undirected,1
82,112,71,Undirected,1
83,104,71,Undirected,1
84,115,119,Undirected,1
85,66,59,Undirected,2
86,119,59,Undirected,1
87,119,122,Undirected,2
88,59,122,Undirected,4
89,119,109,Undirected,2
90,109,122,Undirected,2
91,106,125,Undirected,7
92,43,120,Undirected,12
93,109,120,Undirected,2
94,109,73,Undirected,1
95,73,43,Undirected,5
