,Source,Target,Type,Weight
0,173,99,Undirected,3
1,235,99,Undirected,2
2,211,99,Undirected,1
3,62,132,Undirected,16
4,62,99,Undirected,5
5,99,179,Undirected,17
6,99,290,Undirected,1
7,99,142,Undirected,1
8,99,249,Undirected,5
9,179,290,Undirected,2
10,179,142,Undirected,1
11,179,249,Undirected,13
12,290,142,Undirected,1
13,290,249,Undirected,5
14,142,249,Undirected,1
15,99,292,Undirected,1
16,99,227,Undirected,2
17,179,292,Undirected,21
18,179,227,Undirected,1
19,292,227,Undirected,1
20,99,39,Undirected,1
21,39,179,Undirected,1
22,281,179,Undirected,23
23,281,62,Undirected,24
24,62,179,Undirected,17
25,281,292,Undirected,4
26,133,143,Undirected,43
27,133,161,Undirected,80
28,133,290,Undirected,4
29,290,161,Undirected,9
30,133,249,Undirected,107
31,161,249,Undirected,66
32,133,183,Undirected,15
33,161,143,Undirected,19
34,133,90,Undirected,3
35,90,161,Undirected,1
36,281,161,Undirected,3
37,281,204,Undirected,1
38,161,204,Undirected,8
39,208,292,Undirected,3
40,208,179,Undirected,10
41,161,183,Undirected,11
42,161,208,Undirected,29
43,62,292,Undirected,4
44,292,39,Undirected,1
45,251,162,Undirected,3
46,248,150,Undirected,29
47,248,142,Undirected,1
48,142,150,Undirected,2
49,142,162,Undirected,5
50,150,162,Undirected,4
51,251,150,Undirected,3
52,251,170,Undirected,1
53,251,142,Undirected,1
54,241,39,Undirected,2
55,151,248,Undirected,1
56,210,162,Undirected,1
57,40,213,Undirected,1
58,40,142,Undirected,1
59,213,142,Undirected,5
60,272,42,Undirected,2
61,141,176,Undirected,1
62,141,267,Undirected,1
63,176,267,Undirected,1
64,17,287,Undirected,1
65,17,267,Undirected,1
66,287,267,Undirected,1
67,171,267,Undirected,1
68,267,155,Undirected,2
69,267,118,Undirected,1
70,255,116,Undirected,2
71,138,116,Undirected,20
72,255,41,Undirected,1
73,116,41,Undirected,17
74,200,116,Undirected,21
75,214,116,Undirected,28
76,200,9,Undirected,15
77,214,236,Undirected,28
78,236,41,Undirected,7
79,116,236,Undirected,45
80,24,171,Undirected,1
81,18,99,Undirected,5
82,18,249,Undirected,14
83,18,179,Undirected,5
84,18,208,Undirected,2
85,249,208,Undirected,107
86,99,208,Undirected,23
87,18,161,Undirected,14
88,161,173,Undirected,11
89,161,275,Undirected,1
90,275,249,Undirected,1
91,173,290,Undirected,1
92,173,249,Undirected,1
93,161,39,Undirected,3
94,161,44,Undirected,1
95,161,160,Undirected,3
96,160,143,Undirected,1
97,161,146,Undirected,4
98,208,146,Undirected,1
99,208,133,Undirected,85
100,146,133,Undirected,1
101,161,167,Undirected,1
102,16,62,Undirected,13
103,177,179,Undirected,1
104,292,249,Undirected,1
105,9,208,Undirected,1
106,32,99,Undirected,1
107,213,272,Undirected,104
108,104,272,Undirected,1
109,104,213,Undirected,1
110,106,63,Undirected,1
111,106,129,Undirected,1
112,106,252,Undirected,1
113,106,213,Undirected,1
114,63,129,Undirected,1
115,63,252,Undirected,1
116,63,213,Undirected,1
117,129,252,Undirected,1
118,129,213,Undirected,1
119,252,213,Undirected,1
120,222,36,Undirected,1
121,213,248,Undirected,46
122,213,150,Undirected,27
123,272,36,Undirected,1
124,58,116,Undirected,49
125,58,236,Undirected,35
126,58,137,Undirected,1
127,116,137,Undirected,1
128,236,137,Undirected,1
129,257,227,Undirected,3
130,257,208,Undirected,1
131,227,208,Undirected,5
132,257,249,Undirected,2
133,143,227,Undirected,6
134,183,143,Undirected,4
135,133,18,Undirected,11
136,183,18,Undirected,14
137,290,183,Undirected,1
138,290,143,Undirected,5
139,290,248,Undirected,1
140,290,292,Undirected,1
141,248,292,Undirected,1
142,248,179,Undirected,1
143,133,292,Undirected,5
144,249,281,Undirected,1
145,208,183,Undirected,5
146,227,133,Undirected,2
147,281,143,Undirected,1
148,143,208,Undirected,4
149,253,272,Undirected,3
150,253,53,Undirected,1
151,253,213,Undirected,2
152,272,53,Undirected,27
153,53,213,Undirected,21
154,253,264,Undirected,1
155,272,264,Undirected,2
156,213,162,Undirected,8
157,38,19,Undirected,1
158,38,213,Undirected,1
159,38,248,Undirected,1
160,19,213,Undirected,1
161,19,248,Undirected,1
162,123,272,Undirected,1
163,123,150,Undirected,1
164,123,213,Undirected,1
165,272,150,Undirected,34
166,107,213,Undirected,1
167,107,248,Undirected,1
168,219,213,Undirected,1
169,56,164,Undirected,1
170,56,248,Undirected,3
171,56,272,Undirected,1
172,56,150,Undirected,1
173,56,213,Undirected,1
174,164,248,Undirected,1
175,164,272,Undirected,6
176,164,150,Undirected,1
177,164,213,Undirected,5
178,248,272,Undirected,51
179,53,248,Undirected,2
180,188,162,Undirected,1
181,248,162,Undirected,10
182,272,162,Undirected,13
183,272,231,Undirected,1
184,272,217,Undirected,2
185,150,217,Undirected,1
186,213,88,Undirected,2
187,150,88,Undirected,2
188,88,162,Undirected,1
189,272,88,Undirected,1
190,206,213,Undirected,1
191,214,138,Undirected,6
192,138,236,Undirected,19
193,236,200,Undirected,17
194,200,243,Undirected,1
195,138,41,Undirected,1
196,270,179,Undirected,2
197,270,281,Undirected,2
198,270,132,Undirected,1
199,270,62,Undirected,2
200,270,18,Undirected,2
201,179,132,Undirected,1
202,281,132,Undirected,2
203,281,18,Undirected,2
204,132,18,Undirected,1
205,62,18,Undirected,5
206,161,257,Undirected,2
207,161,227,Undirected,3
208,18,37,Undirected,4
209,18,216,Undirected,2
210,37,183,Undirected,2
211,37,216,Undirected,1
212,183,216,Undirected,4
213,37,181,Undirected,2
214,37,133,Undirected,2
215,37,208,Undirected,1
216,37,99,Undirected,1
217,133,73,Undirected,11
218,208,73,Undirected,3
219,133,62,Undirected,16
220,208,62,Undirected,17
221,133,99,Undirected,3
222,290,208,Undirected,2
223,133,257,Undirected,1
224,249,183,Undirected,13
225,249,216,Undirected,1
226,16,132,Undirected,5
227,73,249,Undirected,1
228,36,150,Undirected,5
229,36,248,Undirected,2
230,248,39,Undirected,1
231,39,56,Undirected,1
232,266,214,Undirected,1
233,117,138,Undirected,1
234,117,236,Undirected,1
235,274,200,Undirected,2
236,274,116,Undirected,2
237,236,255,Undirected,1
238,138,94,Undirected,1
239,24,116,Undirected,1
240,24,75,Undirected,1
241,116,75,Undirected,1
242,81,138,Undirected,1
