,Source,Target,Type,Weight
0,147,40,Undirected,17
1,147,12,Undirected,11
2,40,12,Undirected,30
3,147,169,Undirected,1
4,147,148,Undirected,3
5,40,169,Undirected,10
6,155,148,Undirected,9
7,187,52,Undirected,6
8,5,52,Undirected,60
9,5,35,Undirected,29
10,104,187,Undirected,19
11,148,35,Undirected,45
12,150,151,Undirected,22
13,35,40,Undirected,19
14,135,28,Undirected,2
15,135,190,Undirected,1
16,28,190,Undirected,1
17,151,61,Undirected,1
18,61,64,Undirected,5
19,187,117,Undirected,2
20,188,158,Undirected,20
21,124,135,Undirected,1
22,158,135,Undirected,24
23,83,144,Undirected,32
24,172,120,Undirected,4
25,172,83,Undirected,11
26,120,83,Undirected,5
27,175,83,Undirected,1
28,72,83,Undirected,73
29,144,72,Undirected,4
30,171,83,Undirected,2
31,87,83,Undirected,2
32,48,64,Undirected,1
33,28,35,Undirected,1
34,61,20,Undirected,6
35,61,78,Undirected,1
36,40,87,Undirected,28
37,35,87,Undirected,68
38,40,148,Undirected,3
39,148,87,Undirected,32
40,87,135,Undirected,12
41,87,54,Undirected,35
42,135,35,Undirected,8
43,135,54,Undirected,1
44,35,54,Undirected,23
45,135,148,Undirected,2
46,135,156,Undirected,12
47,135,20,Undirected,5
48,156,20,Undirected,5
49,61,35,Undirected,2
50,147,35,Undirected,10
51,35,29,Undirected,25
52,35,155,Undirected,8
53,156,151,Undirected,12
54,156,35,Undirected,2
55,169,135,Undirected,30
56,20,187,Undirected,2
57,40,135,Undirected,5
58,191,135,Undirected,18
59,188,169,Undirected,30
60,62,1,Undirected,1
61,118,187,Undirected,1
62,173,1,Undirected,1
63,187,64,Undirected,4
64,24,1,Undirected,1
65,24,28,Undirected,2
66,24,97,Undirected,1
67,28,97,Undirected,1
68,125,1,Undirected,1
69,1,97,Undirected,2
70,52,12,Undirected,62
71,5,12,Undirected,17
72,52,54,Undirected,27
73,100,5,Undirected,54
74,100,54,Undirected,57
75,5,54,Undirected,50
76,54,12,Undirected,8
77,128,158,Undirected,1
78,128,27,Undirected,1
79,128,16,Undirected,1
80,158,27,Undirected,2
81,158,16,Undirected,2
82,27,16,Undirected,1
83,135,177,Undirected,2
84,158,142,Undirected,1
85,169,158,Undirected,31
86,158,33,Undirected,1
87,155,134,Undirected,4
88,155,72,Undirected,52
89,39,72,Undirected,29
90,28,85,Undirected,1
91,71,169,Undirected,2
92,71,75,Undirected,2
93,71,64,Undirected,1
94,169,75,Undirected,30
95,169,64,Undirected,2
96,75,64,Undirected,3
97,105,87,Undirected,2
98,12,156,Undirected,9
99,12,35,Undirected,47
100,187,156,Undirected,7
101,35,22,Undirected,1
102,169,151,Undirected,5
103,75,151,Undirected,11
104,36,86,Undirected,1
105,187,135,Undirected,13
106,135,178,Undirected,5
107,169,178,Undirected,5
108,135,25,Undirected,1
109,191,169,Undirected,25
110,191,178,Undirected,3
111,191,25,Undirected,3
112,169,25,Undirected,2
113,178,25,Undirected,1
114,191,158,Undirected,19
115,158,25,Undirected,2
116,83,55,Undirected,2
117,72,84,Undirected,1
118,72,183,Undirected,1
119,72,89,Undirected,1
120,72,120,Undirected,1
121,20,24,Undirected,1
122,20,47,Undirected,3
123,24,47,Undirected,1
124,24,187,Undirected,1
125,47,187,Undirected,1
126,20,155,Undirected,2
127,20,151,Undirected,2
128,20,12,Undirected,1
129,135,47,Undirected,1
130,135,155,Undirected,11
131,135,151,Undirected,4
132,135,12,Undirected,2
133,47,156,Undirected,1
134,47,155,Undirected,1
135,47,151,Undirected,1
136,47,12,Undirected,1
137,156,155,Undirected,13
138,155,151,Undirected,2
139,155,12,Undirected,14
140,151,12,Undirected,2
141,24,107,Undirected,1
142,35,100,Undirected,72
143,35,52,Undirected,26
144,35,38,Undirected,7
145,52,38,Undirected,26
146,52,100,Undirected,46
147,52,148,Undirected,30
148,38,100,Undirected,29
149,38,5,Undirected,40
150,38,148,Undirected,19
151,38,54,Undirected,31
152,100,148,Undirected,22
153,5,148,Undirected,33
154,148,54,Undirected,37
155,35,64,Undirected,1
156,64,148,Undirected,1
157,64,54,Undirected,2
158,123,64,Undirected,2
159,155,86,Undirected,2
160,155,52,Undirected,7
161,86,52,Undirected,2
162,86,135,Undirected,1
163,52,135,Undirected,2
164,52,53,Undirected,2
165,187,53,Undirected,1
166,144,5,Undirected,1
167,86,137,Undirected,1
168,191,188,Undirected,22
169,135,188,Undirected,21
170,162,5,Undirected,1
171,24,82,Undirected,1
172,157,156,Undirected,64
173,157,151,Undirected,6
174,157,52,Undirected,1
175,157,150,Undirected,2
176,151,52,Undirected,2
177,52,150,Undirected,1
178,157,155,Undirected,1
179,157,135,Undirected,1
180,157,12,Undirected,6
181,157,100,Undirected,4
182,156,100,Undirected,5
183,157,29,Undirected,1
184,156,29,Undirected,3
185,86,29,Undirected,3
186,52,87,Undirected,49
187,29,100,Undirected,56
188,29,12,Undirected,43
189,100,12,Undirected,22
190,29,148,Undirected,11
191,187,150,Undirected,2
192,155,40,Undirected,3
193,12,86,Undirected,2
194,12,148,Undirected,24
195,86,148,Undirected,3
196,12,87,Undirected,26
197,29,87,Undirected,17
198,87,100,Undirected,35
199,52,29,Undirected,30
200,87,5,Undirected,48
201,35,187,Undirected,3
202,187,5,Undirected,5
203,24,100,Undirected,1
204,4,100,Undirected,1
205,86,188,Undirected,2
206,158,151,Undirected,2
207,191,151,Undirected,3
208,151,188,Undirected,1
209,24,188,Undirected,3
210,24,156,Undirected,2
211,156,188,Undirected,6
212,188,58,Undirected,1
213,58,19,Undirected,1
214,188,177,Undirected,2
215,55,21,Undirected,3
216,55,7,Undirected,1
217,72,131,Undirected,3
218,45,72,Undirected,1
219,72,13,Undirected,2
220,189,72,Undirected,1
221,61,187,Undirected,5
222,40,75,Undirected,2
223,75,100,Undirected,6
224,155,87,Undirected,6
225,100,155,Undirected,3
226,155,5,Undirected,7
227,29,55,Undirected,1
228,55,138,Undirected,1
229,55,5,Undirected,1
230,55,12,Undirected,1
231,55,62,Undirected,1
232,138,5,Undirected,1
233,138,12,Undirected,1
234,138,62,Undirected,1
235,5,62,Undirected,1
236,12,62,Undirected,1
237,29,5,Undirected,21
238,29,155,Undirected,3
239,169,88,Undirected,1
240,64,88,Undirected,1
241,188,119,Undirected,1
242,55,67,Undirected,2
243,67,154,Undirected,1
244,144,155,Undirected,2
245,83,155,Undirected,21
246,35,124,Undirected,1
247,124,100,Undirected,2
248,147,155,Undirected,1
249,124,187,Undirected,1
250,124,147,Undirected,1
251,187,147,Undirected,3
252,135,24,Undirected,1
253,156,75,Undirected,37
254,158,178,Undirected,3
255,178,151,Undirected,1
256,68,188,Undirected,11
257,68,158,Undirected,15
258,55,144,Undirected,3
259,72,172,Undirected,3
260,155,172,Undirected,7
261,90,104,Undirected,1
262,169,121,Undirected,1
263,147,5,Undirected,6
264,64,108,Undirected,1
265,104,155,Undirected,24
266,147,29,Undirected,12
267,147,100,Undirected,17
268,147,87,Undirected,8
269,147,54,Undirected,6
270,147,38,Undirected,7
271,29,54,Undirected,14
272,29,38,Undirected,6
273,104,87,Undirected,4
274,169,150,Undirected,4
275,169,27,Undirected,2
276,150,27,Undirected,1
277,24,86,Undirected,1
278,158,179,Undirected,1
279,169,179,Undirected,1
280,134,72,Undirected,16
281,72,56,Undirected,1
282,72,63,Undirected,2
283,72,76,Undirected,23
284,31,104,Undirected,2
285,31,150,Undirected,1
286,31,155,Undirected,1
287,104,150,Undirected,3
288,150,155,Undirected,3
289,147,104,Undirected,5
290,24,104,Undirected,1
291,135,69,Undirected,7
292,64,38,Undirected,6
293,64,100,Undirected,3
294,40,104,Undirected,6
295,100,53,Undirected,1
296,147,53,Undirected,1
297,104,69,Undirected,9
298,104,75,Undirected,23
299,69,75,Undirected,8
300,69,187,Undirected,3
301,40,100,Undirected,9
302,38,187,Undirected,1
303,86,169,Undirected,2
304,69,27,Undirected,1
305,155,39,Undirected,10
306,72,109,Undirected,2
307,83,109,Undirected,3
308,72,126,Undirected,1
309,74,29,Undirected,2
310,74,182,Undirected,1
311,40,5,Undirected,4
312,12,69,Undirected,3
313,87,38,Undirected,33
314,100,104,Undirected,14
315,104,12,Undirected,14
316,104,54,Undirected,2
317,150,69,Undirected,7
318,181,12,Undirected,1
319,155,75,Undirected,61
320,155,69,Undirected,4
321,75,12,Undirected,13
322,20,29,Undirected,1
323,20,86,Undirected,1
324,20,35,Undirected,3
325,86,35,Undirected,2
326,20,100,Undirected,1
327,51,61,Undirected,1
328,138,35,Undirected,1
329,187,119,Undirected,1
330,119,12,Undirected,1
331,72,103,Undirected,1
332,183,155,Undirected,3
333,41,12,Undirected,2
334,148,75,Undirected,2
335,174,156,Undirected,1
336,169,148,Undirected,2
337,169,87,Undirected,3
338,169,12,Undirected,2
339,169,29,Undirected,1
340,75,150,Undirected,14
341,155,45,Undirected,1
342,169,119,Undirected,1
343,156,169,Undirected,8
344,156,197,Undirected,2
345,169,197,Undirected,3
346,135,197,Undirected,4
347,156,191,Undirected,17
348,191,197,Undirected,2
349,158,86,Undirected,2
350,158,197,Undirected,2
351,188,197,Undirected,4
352,64,87,Undirected,1
353,54,144,Undirected,5
354,148,88,Undirected,1
355,87,88,Undirected,3
356,88,54,Undirected,1
357,75,5,Undirected,6
358,75,187,Undirected,5
359,75,90,Undirected,3
360,187,90,Undirected,2
361,187,100,Undirected,5
362,187,169,Undirected,2
363,187,155,Undirected,15
364,90,100,Undirected,1
365,90,169,Undirected,2
366,90,156,Undirected,2
367,90,155,Undirected,5
368,100,169,Undirected,1
369,169,155,Undirected,5
370,75,32,Undirected,1
371,135,104,Undirected,1
372,38,62,Undirected,1
373,38,61,Undirected,1
374,62,61,Undirected,1
375,14,158,Undirected,1
376,14,135,Undirected,1
377,122,169,Undirected,1
378,191,177,Undirected,1
379,68,177,Undirected,12
380,156,177,Undirected,1
381,135,75,Undirected,10
382,135,5,Undirected,1
