,Source,Target,Type,Weight
443,125,3,Undirected,1
442,271,3,Undirected,1
192,118,4,Undirected,1
185,137,4,Undirected,1
189,241,4,Undirected,1
506,75,5,Undirected,1
50,92,5,Undirected,3
474,247,5,Undirected,4
507,273,5,Undirected,4
280,280,5,Undirected,2
129,50,6,Undirected,2
130,229,6,Undirected,1
315,209,8,Undirected,1
441,125,9,Undirected,2
440,271,9,Undirected,4
670,92,11,Undirected,1
671,170,11,Undirected,1
445,240,11,Undirected,1
496,247,11,Undirected,1
436,271,11,Undirected,9
672,286,11,Undirected,2
145,104,12,Undirected,1
512,32,15,Undirected,2
176,33,15,Undirected,2
375,54,15,Undirected,5
38,95,15,Undirected,9
177,105,15,Undirected,1
35,106,15,Undirected,1
479,118,15,Undirected,4
625,125,15,Undirected,1
480,131,15,Undirected,3
481,144,15,Undirected,1
178,148,15,Undirected,6
39,247,15,Undirected,3
508,254,15,Undirected,1
623,271,15,Undirected,2
10,280,15,Undirected,11
240,50,16,Undirected,3
241,108,16,Undirected,7
239,127,16,Undirected,2
303,54,17,Undirected,1
354,117,17,Undirected,4
463,162,17,Undirected,1
274,254,17,Undirected,2
516,265,17,Undirected,2
304,271,17,Undirected,1
690,50,18,Undirected,1
693,229,19,Undirected,1
499,108,21,Undirected,1
498,229,21,Undirected,1
492,54,23,Undirected,1
121,123,23,Undirected,1
122,202,23,Undirected,1
123,224,23,Undirected,1
692,18,24,Undirected,1
691,50,24,Undirected,3
467,271,25,Undirected,1
491,29,28,Undirected,1
490,185,28,Undirected,1
489,185,29,Undirected,1
616,219,31,Undirected,1
617,273,31,Undirected,1
344,10,32,Undirected,1
347,62,32,Undirected,1
349,106,32,Undirected,1
262,131,33,Undirected,3
20,159,33,Undirected,1
389,204,33,Undirected,1
294,209,33,Undirected,5
566,234,33,Undirected,2
650,246,33,Undirected,1
256,247,33,Undirected,34
255,271,33,Undirected,6
253,280,33,Undirected,1
558,286,33,Undirected,1
150,65,34,Undirected,1
151,104,34,Undirected,1
572,273,36,Undirected,2
583,108,37,Undirected,5
586,229,37,Undirected,1
582,254,37,Undirected,1
593,148,38,Undirected,1
290,108,39,Undirected,1
291,127,39,Undirected,1
148,12,40,Undirected,1
157,88,40,Undirected,1
146,104,40,Undirected,3
155,176,40,Undirected,1
204,260,41,Undirected,1
686,251,42,Undirected,1
100,17,43,Undirected,1
99,229,43,Undirected,4
108,254,43,Undirected,1
104,267,43,Undirected,1
477,127,44,Undirected,1
701,33,45,Undirected,2
700,247,45,Undirected,2
687,212,46,Undirected,1
126,246,46,Undirected,1
385,251,46,Undirected,1
217,271,47,Undirected,1
49,148,48,Undirected,2
279,221,48,Undirected,1
135,273,49,Undirected,3
402,13,50,Undirected,1
97,17,50,Undirected,6
694,19,50,Undirected,1
476,52,50,Undirected,2
285,68,50,Undirected,2
168,82,50,Undirected,2
323,101,50,Undirected,1
66,108,50,Undirected,201
165,117,50,Undirected,14
169,127,50,Undirected,54
320,155,50,Undirected,1
371,178,50,Undirected,2
521,194,50,Undirected,1
435,250,50,Undirected,1
131,254,50,Undirected,16
517,265,50,Undirected,7
103,267,50,Undirected,75
651,33,53,Undirected,1
698,9,54,Undirected,1
114,11,54,Undirected,45
373,77,54,Undirected,1
464,92,54,Undirected,4
363,95,54,Undirected,3
374,164,54,Undirected,2
80,170,54,Undirected,32
699,186,54,Undirected,1
182,208,54,Undirected,1
437,209,54,Undirected,7
111,254,54,Undirected,1
226,261,54,Undirected,1
82,271,54,Undirected,173
606,103,55,Undirected,1
289,50,56,Undirected,2
286,68,56,Undirected,1
287,108,56,Undirected,1
288,127,56,Undirected,1
418,47,57,Undirected,1
306,54,58,Undirected,1
663,108,59,Undirected,4
228,50,60,Undirected,4
248,94,60,Undirected,1
250,108,60,Undirected,4
249,127,60,Undirected,1
229,243,60,Undirected,1
230,254,60,Undirected,1
639,123,61,Undirected,2
640,202,61,Undirected,1
0,223,61,Undirected,1
342,10,62,Undirected,1
659,18,63,Undirected,1
660,108,63,Undirected,1
267,33,64,Undirected,1
149,12,65,Undirected,1
139,40,65,Undirected,4
159,69,65,Undirected,1
158,88,65,Undirected,1
147,104,65,Undirected,8
156,176,65,Undirected,1
153,203,65,Undirected,1
140,235,65,Undirected,1
369,262,65,Undirected,1
141,276,65,Undirected,1
199,246,67,Undirected,1
200,251,67,Undirected,1
423,40,72,Undirected,1
424,150,72,Undirected,1
43,92,73,Undirected,1
44,280,73,Undirected,1
470,273,74,Undirected,1
260,33,75,Undirected,4
259,247,75,Undirected,4
430,267,76,Undirected,1
382,130,78,Undirected,1
381,136,78,Undirected,1
451,161,79,Undirected,1
684,166,83,Undirected,1
685,285,83,Undirected,1
551,123,84,Undirected,5
409,154,84,Undirected,2
414,247,84,Undirected,1
360,86,85,Undirected,1
356,117,85,Undirected,1
357,258,85,Undirected,1
196,4,87,Undirected,1
194,118,87,Undirected,1
187,137,87,Undirected,1
197,152,87,Undirected,1
191,241,87,Undirected,1
12,54,88,Undirected,1
154,176,88,Undirected,1
657,127,89,Undirected,1
293,47,92,Undirected,1
667,113,92,Undirected,1
439,125,92,Undirected,2
485,15,93,Undirected,1
245,50,94,Undirected,1
325,20,95,Undirected,2
603,26,95,Undirected,1
638,32,95,Undirected,1
232,33,95,Undirected,6
486,93,95,Undirected,1
362,123,95,Undirected,7
3,131,95,Undirected,5
535,166,95,Undirected,3
390,204,95,Undirected,1
537,205,95,Undirected,1
393,209,95,Undirected,12
376,224,95,Undirected,3
536,230,95,Undirected,2
233,257,95,Undirected,2
2,280,95,Undirected,7
426,150,97,Undirected,1
331,125,99,Undirected,2
330,271,99,Undirected,1
322,108,101,Undirected,2
321,229,101,Undirected,1
365,123,102,Undirected,1
173,33,105,Undirected,8
83,95,105,Undirected,3
225,123,105,Undirected,15
41,5,106,Undirected,2
343,10,106,Undirected,1
346,62,106,Undirected,1
425,150,106,Undirected,1
324,254,106,Undirected,1
69,17,108,Undirected,31
658,18,108,Undirected,1
101,43,108,Undirected,5
500,52,108,Undirected,3
283,68,108,Undirected,2
431,76,108,Undirected,2
455,89,108,Undirected,4
247,94,108,Undirected,1
456,107,108,Undirected,3
167,117,108,Undirected,20
132,126,108,Undirected,1
296,134,108,Undirected,2
434,156,108,Undirected,1
683,173,108,Undirected,1
106,198,108,Undirected,2
584,211,108,Undirected,3
34,243,108,Undirected,26
102,267,108,Undirected,64
433,269,108,Undirected,1
656,274,108,Undirected,2
55,209,109,Undirected,2
61,215,109,Undirected,2
60,246,109,Undirected,3
59,251,109,Undirected,2
62,273,109,Undirected,3
63,209,110,Undirected,1
487,15,113,Undirected,1
367,54,113,Undirected,2
509,137,113,Undirected,1
581,265,115,Undirected,1
429,192,117,Undirected,3
427,267,117,Undirected,3
184,137,118,Undirected,1
188,241,118,Undirected,1
511,280,119,Undirected,2
610,55,121,Undirected,1
607,103,121,Undirected,1
142,276,122,Undirected,1
223,1,123,Undirected,1
219,5,123,Undirected,1
629,15,123,Undirected,1
636,32,123,Undirected,1
258,33,123,Undirected,16
14,54,123,Undirected,20
261,75,123,Undirected,4
361,96,123,Undirected,1
18,124,123,Undirected,1
598,133,123,Undirected,1
16,157,123,Undirected,1
341,174,123,Undirected,3
7,202,123,Undirected,136
257,247,123,Undirected,48
234,254,123,Undirected,2
5,280,123,Undirected,6
222,1,124,Undirected,1
301,11,125,Undirected,63
302,54,125,Undirected,108
85,113,125,Undirected,1
664,132,125,Undirected,1
531,148,125,Undirected,3
87,160,125,Undirected,1
624,170,125,Undirected,1
313,271,125,Undirected,64
277,280,125,Undirected,38
70,17,127,Undirected,2
284,68,127,Undirected,1
661,71,127,Undirected,1
246,94,127,Undirected,1
32,108,127,Undirected,102
653,116,127,Undirected,1
171,117,127,Undirected,4
170,192,127,Undirected,3
243,228,127,Undirected,1
71,229,127,Undirected,23
33,243,127,Undirected,8
77,256,127,Undirected,1
618,50,128,Undirected,1
619,108,128,Undirected,1
620,229,128,Undirected,1
483,15,130,Undirected,1
570,35,130,Undirected,1
95,72,130,Undirected,1
540,95,130,Undirected,1
380,136,130,Undirected,4
482,144,130,Undirected,1
542,170,130,Undirected,1
571,209,130,Undirected,2
561,246,130,Undirected,1
565,251,130,Undirected,1
231,254,130,Undirected,1
544,285,130,Undirected,1
336,105,131,Undirected,1
300,112,131,Undirected,1
235,123,131,Undirected,30
595,147,131,Undirected,1
340,157,131,Undirected,1
466,165,131,Undirected,1
410,214,131,Undirected,1
377,224,131,Undirected,1
1,280,131,Undirected,4
339,286,131,Undirected,3
493,92,132,Undirected,1
298,108,132,Undirected,1
297,134,132,Undirected,1
281,148,132,Undirected,2
596,148,133,Undirected,4
597,202,133,Undirected,1
647,31,136,Undirected,5
400,209,136,Undirected,2
378,219,136,Undirected,2
560,246,136,Undirected,4
449,278,136,Undirected,1
384,279,136,Undirected,2
478,202,139,Undirected,2
473,247,139,Undirected,2
580,265,141,Undirected,2
127,251,143,Undirected,1
594,148,147,Undirected,3
224,1,148,Undirected,1
220,5,148,Undirected,1
174,33,148,Undirected,12
388,54,148,Undirected,2
472,75,148,Undirected,1
552,84,148,Undirected,2
392,95,148,Undirected,6
175,105,148,Undirected,9
221,123,148,Undirected,130
218,131,148,Undirected,9
527,190,148,Undirected,3
391,204,148,Undirected,1
314,247,148,Undirected,30
395,254,148,Undirected,1
254,271,148,Undirected,1
36,280,148,Undirected,4
562,130,149,Undirected,1
563,136,149,Undirected,1
568,206,149,Undirected,1
559,251,149,Undirected,3
422,40,150,Undirected,1
152,65,150,Undirected,2
419,183,150,Undirected,1
599,148,151,Undirected,1
195,4,152,Undirected,1
193,118,152,Undirected,1
186,137,152,Undirected,1
190,241,152,Undirected,1
198,209,153,Undirected,1
11,280,154,Undirected,1
318,108,155,Undirected,2
13,54,157,Undirected,8
335,105,157,Undirected,1
332,271,157,Undirected,1
338,286,157,Undirected,1
524,166,158,Undirected,2
564,251,158,Undirected,1
469,216,159,Undirected,1
201,251,159,Undirected,1
84,113,160,Undirected,1
587,18,161,Undirected,1
589,148,166,Undirected,3
573,129,167,Undirected,1
673,161,169,Undirected,2
484,15,170,Undirected,4
458,33,170,Undirected,3
538,95,170,Undirected,12
600,168,170,Undirected,1
556,202,170,Undirected,5
109,254,170,Undirected,2
621,251,171,Undirected,1
47,202,172,Undirected,1
46,247,172,Undirected,1
682,229,173,Undirected,1
408,15,174,Undirected,2
635,32,174,Undirected,2
459,33,174,Undirected,1
407,131,174,Undirected,1
412,202,174,Undirected,1
411,247,174,Undirected,1
406,280,174,Undirected,3
91,246,175,Undirected,1
208,41,177,Undirected,1
205,260,177,Undirected,1
503,229,178,Undirected,1
529,54,179,Undirected,1
528,271,179,Undirected,1
630,15,181,Undirected,2
632,32,181,Undirected,2
550,123,181,Undirected,2
557,148,181,Undirected,3
643,247,181,Undirected,1
387,88,182,Undirected,1
453,65,184,Undirected,1
452,104,184,Undirected,1
86,113,185,Undirected,1
89,125,185,Undirected,1
88,160,185,Undirected,1
128,108,187,Undirected,1
421,150,191,Undirected,1
420,183,191,Undirected,1
40,5,192,Undirected,6
522,17,192,Undirected,2
160,50,192,Undirected,41
161,108,192,Undirected,45
520,194,192,Undirected,1
515,265,192,Undirected,20
