,Source,Target,Type,Weight
0,181,38,Undirected,15
1,92,38,Undirected,1
2,38,55,Undirected,19
3,38,8,Undirected,27
4,55,8,Undirected,1
5,144,33,Undirected,1
6,144,163,Undirected,4
7,144,4,Undirected,5
8,33,163,Undirected,18
9,33,4,Undirected,46
10,163,4,Undirected,41
11,8,163,Undirected,33
12,8,144,Undirected,2
13,8,33,Undirected,18
14,8,65,Undirected,10
15,86,8,Undirected,23
16,156,162,Undirected,8
17,82,75,Undirected,19
18,82,69,Undirected,7
19,69,155,Undirected,1
20,19,7,Undirected,1
21,57,7,Undirected,1
22,55,73,Undirected,1
23,55,163,Undirected,1
24,55,86,Undirected,1
25,73,163,Undirected,1
26,73,86,Undirected,3
27,163,86,Undirected,8
28,181,8,Undirected,6
29,118,33,Undirected,1
30,31,19,Undirected,1
31,31,4,Undirected,27
32,31,24,Undirected,2
33,31,33,Undirected,9
34,4,24,Undirected,5
35,24,33,Undirected,6
36,78,7,Undirected,1
37,18,22,Undirected,1
38,48,7,Undirected,1
39,4,47,Undirected,68
40,5,163,Undirected,2
41,163,65,Undirected,2
42,128,172,Undirected,21
43,43,156,Undirected,1
44,101,128,Undirected,2
45,156,176,Undirected,45
46,172,156,Undirected,36
47,69,98,Undirected,1
48,154,69,Undirected,46
49,154,75,Undirected,9
50,75,69,Undirected,37
51,154,130,Undirected,1
52,154,159,Undirected,5
53,85,59,Undirected,2
54,55,65,Undirected,3
55,55,181,Undirected,2
56,55,94,Undirected,1
57,181,65,Undirected,4
58,181,94,Undirected,3
59,38,65,Undirected,5
60,38,94,Undirected,3
61,65,94,Undirected,2
62,172,73,Undirected,1
63,99,73,Undirected,19
64,99,65,Undirected,2
65,73,65,Undirected,14
66,86,4,Undirected,48
67,87,86,Undirected,1
68,181,25,Undirected,1
69,65,25,Undirected,2
70,25,38,Undirected,1
71,65,128,Undirected,2
72,162,176,Undirected,16
73,156,128,Undirected,33
74,176,128,Undirected,28
75,176,172,Undirected,21
76,176,2,Undirected,2
77,2,65,Undirected,1
78,65,176,Undirected,37
79,172,65,Undirected,2
80,69,125,Undirected,6
81,35,69,Undirected,50
82,57,1,Undirected,1
83,113,181,Undirected,1
84,173,1,Undirected,1
85,181,59,Undirected,2
86,19,1,Undirected,1
87,19,23,Undirected,1
88,19,92,Undirected,1
89,23,92,Undirected,1
90,117,1,Undirected,1
91,1,92,Undirected,2
92,45,4,Undirected,14
93,45,8,Undirected,9
94,4,8,Undirected,37
95,45,47,Undirected,3
96,94,4,Undirected,59
97,94,47,Undirected,19
98,47,8,Undirected,19
99,119,156,Undirected,1
100,119,22,Undirected,1
101,119,11,Undirected,1
102,156,22,Undirected,1
103,156,11,Undirected,2
104,22,11,Undirected,1
105,156,136,Undirected,1
106,156,28,Undirected,1
107,154,125,Undirected,2
108,181,73,Undirected,4
109,73,59,Undirected,2
110,73,8,Undirected,5
111,99,8,Undirected,14
112,86,181,Undirected,4
113,181,4,Undirected,5
114,86,47,Undirected,28
115,47,33,Undirected,27
116,133,128,Undirected,3
117,71,69,Undirected,1
118,76,69,Undirected,1
119,76,154,Undirected,1
120,49,69,Undirected,1
121,69,111,Undirected,1
122,107,181,Undirected,2
123,65,31,Undirected,2
124,181,31,Undirected,6
125,31,38,Undirected,2
126,181,99,Undirected,8
127,99,31,Undirected,2
128,99,4,Undirected,3
129,144,86,Undirected,5
130,144,94,Undirected,2
131,144,45,Undirected,1
132,8,94,Undirected,15
133,86,94,Undirected,16
134,86,45,Undirected,12
135,94,45,Undirected,8
136,31,86,Undirected,6
137,51,38,Undirected,1
138,38,4,Undirected,3
139,156,180,Undirected,1
140,156,148,Undirected,3
141,52,80,Undirected,4
142,154,82,Undirected,9
143,69,157,Undirected,1
144,104,107,Undirected,3
145,38,86,Undirected,2
146,38,45,Undirected,1
147,181,156,Undirected,1
148,156,10,Undirected,3
149,10,176,Undirected,1
150,10,172,Undirected,3
151,154,35,Undirected,15
152,154,151,Undirected,1
153,125,151,Undirected,2
154,69,106,Undirected,1
155,86,99,Undirected,2
156,94,99,Undirected,10
157,63,86,Undirected,1
158,172,67,Undirected,1
159,125,35,Undirected,1
160,35,3,Undirected,1
161,35,89,Undirected,1
162,3,89,Undirected,1
163,69,159,Undirected,1
164,19,8,Undirected,3
165,8,87,Undirected,3
166,124,128,Undirected,3
167,62,172,Undirected,1
168,19,59,Undirected,1
169,31,47,Undirected,17
170,31,141,Undirected,2
171,139,69,Undirected,1
172,139,82,Undirected,1
173,164,69,Undirected,1
174,99,38,Undirected,6
175,99,154,Undirected,8
176,38,154,Undirected,2
177,154,65,Undirected,2
178,154,8,Undirected,1
179,33,86,Undirected,17
180,33,94,Undirected,10
181,33,99,Undirected,1
182,19,90,Undirected,1
183,154,181,Undirected,1
184,154,73,Undirected,8
185,154,24,Undirected,1
186,99,24,Undirected,3
187,19,172,Undirected,7
188,156,171,Undirected,2
189,112,52,Undirected,2
190,73,82,Undirected,2
191,73,75,Undirected,1
192,55,59,Undirected,1
193,55,23,Undirected,1
194,59,23,Undirected,1
195,182,23,Undirected,1
196,140,172,Undirected,1
197,45,33,Undirected,6
198,45,24,Undirected,1
199,38,33,Undirected,6
200,59,38,Undirected,2
201,99,172,Undirected,3
202,99,23,Undirected,2
203,172,23,Undirected,5
204,181,105,Undirected,1
205,99,105,Undirected,2
206,6,23,Undirected,1
207,73,105,Undirected,5
208,99,59,Undirected,2
209,4,73,Undirected,3
210,158,38,Undirected,1
211,73,94,Undirected,2
212,65,24,Undirected,1
213,105,4,Undirected,6
214,105,8,Undirected,1
215,38,47,Undirected,1
216,172,38,Undirected,4
217,110,172,Undirected,1
218,110,23,Undirected,1
219,34,23,Undirected,2
220,149,172,Undirected,2
221,149,65,Undirected,2
222,149,124,Undirected,1
223,149,128,Undirected,1
224,124,172,Undirected,2
225,156,132,Undirected,1
226,65,19,Undirected,2
227,75,174,Undirected,23
228,75,183,Undirected,1
229,174,183,Undirected,1
230,154,174,Undirected,1
231,150,160,Undirected,5
232,160,31,Undirected,1
233,160,65,Undirected,1
234,57,134,Undirected,1
235,65,20,Undirected,1
236,176,149,Undirected,1
237,69,64,Undirected,15
238,64,154,Undirected,1
239,154,89,Undirected,1
240,70,81,Undirected,1
241,138,81,Undirected,1
242,31,8,Undirected,22
243,86,24,Undirected,5
244,47,24,Undirected,1
245,86,81,Undirected,2
246,31,94,Undirected,1
247,31,81,Undirected,6
248,8,81,Undirected,2
249,81,47,Undirected,3
250,33,81,Undirected,2
251,181,81,Undirected,1
252,22,81,Undirected,1
253,161,52,Undirected,2
254,177,52,Undirected,1
255,36,60,Undirected,1
256,172,94,Undirected,1
257,89,31,Undirected,1
258,89,4,Undirected,1
259,89,94,Undirected,1
260,65,4,Undirected,5
261,22,31,Undirected,1
262,156,46,Undirected,1
263,128,167,Undirected,2
264,172,167,Undirected,1
265,167,176,Undirected,1
266,65,61,Undirected,1
267,82,52,Undirected,2
268,31,163,Undirected,35
269,165,37,Undirected,1
270,172,4,Undirected,1
271,50,85,Undirected,2
272,54,65,Undirected,1
273,172,31,Undirected,1
274,105,68,Undirected,2
275,105,65,Undirected,4
276,68,65,Undirected,2
277,68,4,Undirected,2
278,68,73,Undirected,2
279,74,31,Undirected,1
280,74,122,Undirected,1
281,31,122,Undirected,1
282,47,163,Undirected,17
283,163,94,Undirected,11
284,31,146,Undirected,1
285,17,99,Undirected,1
286,178,4,Undirected,1
287,156,2,Undirected,1
288,156,14,Undirected,1
289,156,56,Undirected,1
290,128,2,Undirected,1
291,99,123,Undirected,2
292,156,102,Undirected,1
293,172,102,Undirected,1
294,176,102,Undirected,1
295,19,99,Undirected,3
296,137,8,Undirected,1
297,73,24,Undirected,2
298,59,24,Undirected,1
299,87,97,Undirected,1
300,8,25,Undirected,2
301,99,25,Undirected,1
302,95,59,Undirected,2
303,99,47,Undirected,1
304,52,152,Undirected,1
305,154,165,Undirected,2
306,159,165,Undirected,1
307,69,39,Undirected,2
308,69,121,Undirected,1
309,165,35,Undirected,1
310,165,69,Undirected,1
311,25,121,Undirected,1
312,8,24,Undirected,1
313,19,184,Undirected,1
314,105,81,Undirected,1
315,65,81,Undirected,1
316,73,81,Undirected,1
317,181,131,Undirected,4
318,108,22,Undirected,2
319,145,52,Undirected,1
320,46,103,Undirected,3
321,168,154,Undirected,1
322,19,126,Undirected,1
323,163,172,Undirected,2
324,79,176,Undirected,1
325,87,176,Undirected,1
326,181,176,Undirected,4
327,181,162,Undirected,1
328,162,65,Undirected,1
329,128,29,Undirected,1
330,29,176,Undirected,1
331,35,174,Undirected,3
332,69,174,Undirected,9
333,83,165,Undirected,2
334,181,128,Undirected,1
335,19,38,Undirected,2
336,66,65,Undirected,1
337,128,55,Undirected,2
338,133,115,Undirected,1
339,133,156,Undirected,1
340,115,128,Undirected,1
341,115,156,Undirected,1
342,128,162,Undirected,4
343,69,172,Undirected,5
344,75,66,Undirected,1
345,82,35,Undirected,1
346,73,166,Undirected,1
347,52,147,Undirected,1
348,52,84,Undirected,1
349,52,118,Undirected,1
350,52,116,Undirected,1
351,52,53,Undirected,1
352,147,84,Undirected,1
353,147,118,Undirected,1
354,147,116,Undirected,1
355,147,53,Undirected,1
356,84,118,Undirected,1
357,84,116,Undirected,1
358,84,53,Undirected,1
359,118,116,Undirected,1
360,118,53,Undirected,1
361,116,53,Undirected,1
362,59,8,Undirected,2
363,59,86,Undirected,6
364,59,4,Undirected,4
365,59,144,Undirected,2
366,30,19,Undirected,1
367,166,99,Undirected,1
368,22,129,Undirected,1
369,156,88,Undirected,1
370,88,128,Undirected,1
371,106,153,Undirected,1
372,35,75,Undirected,3
373,35,36,Undirected,2
374,36,174,Undirected,10
375,36,69,Undirected,5
376,36,75,Undirected,2
377,69,83,Undirected,1
378,96,69,Undirected,1
379,96,36,Undirected,1
380,69,9,Undirected,1
381,36,16,Undirected,1
382,120,69,Undirected,1
