,Source,Target,Type,Weight
0,147,37,Undirected,33
1,147,5,Undirected,46
2,37,5,Undirected,24
3,147,173,Undirected,1
4,147,148,Undirected,17
5,37,173,Undirected,14
6,156,148,Undirected,16
7,186,41,Undirected,4
8,3,41,Undirected,7
9,3,31,Undirected,4
10,105,186,Undirected,41
11,148,31,Undirected,18
12,149,150,Undirected,18
13,31,37,Undirected,10
14,135,22,Undirected,1
15,135,188,Undirected,1
16,22,188,Undirected,1
17,150,47,Undirected,1
18,47,54,Undirected,4
19,186,118,Undirected,2
20,187,159,Undirected,4
21,123,135,Undirected,1
22,159,135,Undirected,29
23,81,145,Undirected,45
24,175,121,Undirected,3
25,175,81,Undirected,10
26,121,81,Undirected,5
27,178,81,Undirected,1
28,67,81,Undirected,124
29,145,67,Undirected,26
30,174,81,Undirected,2
31,86,81,Undirected,2
32,39,54,Undirected,1
33,22,31,Undirected,1
34,47,12,Undirected,6
35,47,75,Undirected,1
36,37,86,Undirected,13
37,31,86,Undirected,39
38,37,148,Undirected,20
39,148,86,Undirected,28
40,86,135,Undirected,8
41,86,42,Undirected,19
42,135,31,Undirected,8
43,135,42,Undirected,3
44,31,42,Undirected,6
45,135,148,Undirected,5
46,135,158,Undirected,2
47,135,12,Undirected,11
48,158,12,Undirected,4
49,47,31,Undirected,1
50,147,31,Undirected,2
51,31,23,Undirected,16
52,31,156,Undirected,11
53,158,150,Undirected,2
54,158,31,Undirected,1
55,173,135,Undirected,53
56,12,186,Undirected,5
57,37,135,Undirected,22
58,189,135,Undirected,40
59,187,173,Undirected,9
60,186,37,Undirected,34
61,148,5,Undirected,30
62,186,5,Undirected,12
63,156,73,Undirected,42
64,148,41,Undirected,20
65,148,95,Undirected,20
66,41,95,Undirected,33
67,148,42,Undirected,23
68,42,41,Undirected,25
69,177,28,Undirected,1
70,3,69,Undirected,6
71,186,153,Undirected,1
72,73,150,Undirected,1
73,73,153,Undirected,3
74,153,69,Undirected,3
75,189,140,Undirected,30
76,156,81,Undirected,72
77,156,67,Undirected,153
78,129,67,Undirected,1
79,186,4,Undirected,4
80,48,85,Undirected,1
81,94,5,Undirected,1
82,94,148,Undirected,1
83,94,86,Undirected,2
84,5,86,Undirected,16
85,49,3,Undirected,1
86,167,4,Undirected,2
87,156,3,Undirected,16
88,69,73,Undirected,27
89,69,37,Undirected,10
90,69,41,Undirected,6
91,69,156,Undirected,33
92,69,86,Undirected,4
93,69,135,Undirected,18
94,37,41,Undirected,13
95,37,156,Undirected,22
96,41,156,Undirected,5
97,41,86,Undirected,8
98,41,135,Undirected,5
99,156,86,Undirected,4
100,156,135,Undirected,10
101,96,150,Undirected,35
102,96,30,Undirected,2
103,150,30,Undirected,7
104,86,95,Undirected,35
105,105,95,Undirected,9
106,3,48,Undirected,7
107,3,105,Undirected,19
108,3,148,Undirected,10
109,105,48,Undirected,2
110,105,148,Undirected,7
111,48,148,Undirected,3
112,3,88,Undirected,1
113,147,86,Undirected,7
114,147,156,Undirected,5
115,156,5,Undirected,8
116,69,5,Undirected,26
117,186,73,Undirected,15
118,186,86,Undirected,9
119,186,156,Undirected,17
120,73,86,Undirected,2
121,38,4,Undirected,1
122,38,57,Undirected,1
123,4,57,Undirected,1
124,4,149,Undirected,1
125,4,91,Undirected,1
126,189,173,Undirected,95
127,189,69,Undirected,4
128,189,159,Undirected,59
129,173,69,Undirected,10
130,173,159,Undirected,78
131,69,159,Undirected,1
132,173,140,Undirected,5
133,69,140,Undirected,1
134,21,173,Undirected,9
135,67,44,Undirected,20
136,67,175,Undirected,11
137,67,73,Undirected,9
138,175,44,Undirected,2
139,156,44,Undirected,9
140,156,145,Undirected,33
141,145,44,Undirected,4
142,145,73,Undirected,3
143,44,73,Undirected,2
144,34,105,Undirected,1
145,96,112,Undirected,11
146,147,41,Undirected,2
147,69,186,Undirected,20
148,42,37,Undirected,10
149,95,156,Undirected,6
150,7,120,Undirected,1
151,29,12,Undirected,1
152,3,90,Undirected,1
153,3,95,Undirected,53
154,90,95,Undirected,1
155,159,140,Undirected,6
156,140,135,Undirected,5
157,55,119,Undirected,1
158,55,159,Undirected,2
159,119,159,Undirected,1
160,73,140,Undirected,1
161,73,189,Undirected,4
162,73,135,Undirected,5
163,186,120,Undirected,4
164,162,62,Undirected,1
165,168,62,Undirected,1
166,6,62,Undirected,1
167,156,175,Undirected,27
168,69,105,Undirected,19
169,95,186,Undirected,3
170,105,41,Undirected,1
171,88,73,Undirected,1
172,112,150,Undirected,7
173,186,148,Undirected,10
174,164,112,Undirected,3
175,164,150,Undirected,3
176,37,105,Undirected,15
177,159,37,Undirected,1
178,150,98,Undirected,1
179,156,56,Undirected,7
180,56,67,Undirected,9
181,156,121,Undirected,1
182,67,104,Undirected,5
183,43,67,Undirected,1
184,95,37,Undirected,8
185,156,105,Undirected,8
186,69,89,Undirected,209
187,135,105,Undirected,25
188,135,89,Undirected,5
189,135,186,Undirected,16
190,105,89,Undirected,2
191,89,186,Undirected,2
192,135,5,Undirected,4
193,105,5,Undirected,5
194,89,5,Undirected,1
195,156,89,Undirected,4
196,37,3,Undirected,9
197,189,45,Undirected,2
198,45,173,Undirected,2
199,45,135,Undirected,2
200,44,81,Undirected,1
201,62,124,Undirected,1
202,67,69,Undirected,8
203,81,69,Undirected,1
204,82,32,Undirected,1
205,82,59,Undirected,1
206,82,94,Undirected,1
207,32,59,Undirected,1
208,32,94,Undirected,1
209,59,94,Undirected,1
210,19,48,Undirected,6
211,19,135,Undirected,3
212,53,3,Undirected,3
213,95,135,Undirected,3
214,95,42,Undirected,45
215,3,86,Undirected,2
216,3,42,Undirected,6
217,147,3,Undirected,12
218,147,94,Undirected,1
219,3,94,Undirected,1
220,5,3,Undirected,11
221,48,23,Undirected,1
222,23,148,Undirected,9
223,73,94,Undirected,1
224,73,52,Undirected,1
225,94,52,Undirected,1
226,150,69,Undirected,2
227,23,94,Undirected,2
228,23,3,Undirected,2
229,158,86,Undirected,17
230,158,95,Undirected,2
231,158,69,Undirected,12
232,158,5,Undirected,6
233,95,69,Undirected,4
234,95,5,Undirected,7
235,158,37,Undirected,2
236,158,186,Undirected,4
237,3,59,Undirected,1
238,3,186,Undirected,3
239,99,3,Undirected,1
240,173,186,Undirected,5
241,95,94,Undirected,1
242,146,173,Undirected,1
243,166,173,Undirected,5
244,166,139,Undirected,1
245,166,135,Undirected,1
246,173,139,Undirected,5
247,139,135,Undirected,1
248,102,67,Undirected,2
249,74,156,Undirected,8
250,17,95,Undirected,11
251,48,136,Undirected,1
252,58,17,Undirected,1
253,17,122,Undirected,1
254,17,19,Undirected,1
255,17,155,Undirected,1
256,122,19,Undirected,1
257,122,155,Undirected,1
258,19,155,Undirected,1
259,17,73,Undirected,1
260,17,186,Undirected,1
261,17,3,Undirected,8
262,53,95,Undirected,8
263,73,89,Undirected,1
264,89,53,Undirected,1
265,173,27,Undirected,1
266,173,73,Undirected,4
267,21,139,Undirected,1
268,21,150,Undirected,1
269,139,150,Undirected,1
270,173,150,Undirected,2
271,159,73,Undirected,3
272,173,116,Undirected,1
273,67,71,Undirected,2
274,156,71,Undirected,4
275,71,73,Undirected,1
276,73,175,Undirected,1
277,53,148,Undirected,3
278,70,171,Undirected,1
279,74,30,Undirected,1
280,67,30,Undirected,1
281,67,100,Undirected,1
282,145,101,Undirected,3
283,67,101,Undirected,1
284,142,30,Undirected,1
285,88,156,Undirected,2
286,21,158,Undirected,2
287,73,64,Undirected,6
288,41,23,Undirected,3
289,186,54,Undirected,1
290,42,23,Undirected,4
291,186,24,Undirected,1
292,152,44,Undirected,1
293,104,156,Undirected,4
294,60,67,Undirected,2
295,86,23,Undirected,2
296,186,23,Undirected,2
297,19,16,Undirected,1
298,48,120,Undirected,1
299,5,73,Undirected,5
300,73,158,Undirected,1
301,3,158,Undirected,1
302,5,41,Undirected,3
303,158,41,Undirected,1
304,186,96,Undirected,1
305,23,96,Undirected,1
306,148,96,Undirected,1
307,186,114,Undirected,1
308,114,120,Undirected,1
309,186,42,Undirected,1
310,25,19,Undirected,1
311,5,173,Undirected,3
312,63,159,Undirected,3
313,63,179,Undirected,1
314,179,159,Undirected,1
315,173,63,Undirected,1
316,159,85,Undirected,2
317,192,173,Undirected,1
318,104,77,Undirected,1
319,85,3,Undirected,2
320,148,89,Undirected,5
321,95,12,Undirected,6
322,3,19,Undirected,3
323,13,173,Undirected,1
324,81,74,Undirected,2
325,67,74,Undirected,14
326,74,175,Undirected,3
327,48,73,Undirected,1
328,48,186,Undirected,3
329,48,37,Undirected,1
330,73,37,Undirected,8
331,190,105,Undirected,2
332,190,186,Undirected,1
333,149,127,Undirected,2
334,150,127,Undirected,1
335,105,86,Undirected,2
336,96,149,Undirected,4
337,157,159,Undirected,1
338,95,147,Undirected,3
339,19,156,Undirected,1
340,147,48,Undirected,1
341,165,18,Undirected,1
342,53,105,Undirected,3
343,53,73,Undirected,2
344,105,73,Undirected,9
345,104,73,Undirected,1
346,128,186,Undirected,1
347,132,105,Undirected,1
348,23,95,Undirected,17
349,186,92,Undirected,1
350,92,120,Undirected,1
351,186,169,Undirected,1
352,186,19,Undirected,3
353,186,125,Undirected,1
354,47,186,Undirected,2
355,31,95,Undirected,27
356,31,5,Undirected,2
357,23,44,Undirected,1
358,44,139,Undirected,1
359,44,3,Undirected,1
360,44,5,Undirected,1
361,44,48,Undirected,1
362,139,3,Undirected,1
363,139,5,Undirected,1
364,139,48,Undirected,1
365,5,48,Undirected,1
366,23,156,Undirected,5
367,173,54,Undirected,1
368,173,87,Undirected,1
369,54,87,Undirected,1
370,187,120,Undirected,1
371,44,62,Undirected,2
372,62,154,Undirected,1
373,95,98,Undirected,4
374,41,98,Undirected,1
375,86,48,Undirected,1
376,19,165,Undirected,7
377,98,148,Undirected,1
378,34,173,Undirected,1
379,73,81,Undirected,5
380,12,69,Undirected,3
381,12,134,Undirected,1
382,69,134,Undirected,2
383,28,161,Undirected,1
384,41,2,Undirected,1
385,3,135,Undirected,3
386,3,191,Undirected,1
387,12,73,Undirected,2
388,12,120,Undirected,1
389,73,120,Undirected,1
390,186,28,Undirected,2
391,98,159,Undirected,2
392,189,166,Undirected,4
393,156,10,Undirected,2
394,67,10,Undirected,3
395,112,149,Undirected,3
396,19,28,Undirected,1
397,69,33,Undirected,1
398,73,33,Undirected,2
399,156,33,Undirected,2
400,164,96,Undirected,1
401,19,173,Undirected,4
402,56,121,Undirected,1
403,67,121,Undirected,1
404,96,37,Undirected,6
405,139,97,Undirected,1
406,96,5,Undirected,2
407,135,21,Undirected,1
408,96,147,Undirected,2
409,95,131,Undirected,2
410,86,131,Undirected,1
411,108,175,Undirected,3
412,108,10,Undirected,2
413,175,10,Undirected,4
414,108,67,Undirected,1
415,108,156,Undirected,8
416,64,69,Undirected,13
417,64,156,Undirected,1
418,64,12,Undirected,3
419,64,37,Undirected,3
420,64,186,Undirected,1
421,156,12,Undirected,2
422,12,37,Undirected,5
423,64,135,Undirected,5
424,64,115,Undirected,2
425,64,5,Undirected,2
426,64,105,Undirected,6
427,69,115,Undirected,2
428,73,115,Undirected,2
429,135,115,Undirected,2
430,115,5,Undirected,2
431,115,105,Undirected,2
432,156,153,Undirected,1
433,19,29,Undirected,1
434,160,29,Undirected,1
435,165,181,Undirected,1
436,29,50,Undirected,1
437,134,67,Undirected,3
438,134,81,Undirected,1
439,134,145,Undirected,1
440,134,156,Undirected,1
441,1,98,Undirected,1
442,1,195,Undirected,1
443,1,194,Undirected,1
444,1,163,Undirected,1
445,98,195,Undirected,1
446,98,194,Undirected,1
447,98,163,Undirected,1
448,195,194,Undirected,1
449,195,163,Undirected,1
450,194,163,Undirected,1
451,69,148,Undirected,1
452,167,182,Undirected,1
453,20,182,Undirected,1
454,3,182,Undirected,1
455,41,182,Undirected,1
456,21,48,Undirected,1
457,21,105,Undirected,1
458,21,3,Undirected,1
459,166,21,Undirected,2
460,156,53,Undirected,1
461,67,53,Undirected,2
462,79,3,Undirected,1
463,173,41,Undirected,4
464,186,110,Undirected,2
465,73,3,Undirected,1
466,14,139,Undirected,1
467,109,173,Undirected,2
468,109,159,Undirected,1
469,176,159,Undirected,1
470,80,44,Undirected,1
471,67,24,Undirected,1
472,156,123,Undirected,1
473,127,69,Undirected,5
474,127,35,Undirected,1
475,127,73,Undirected,2
476,127,53,Undirected,1
477,35,73,Undirected,1
478,35,53,Undirected,1
479,35,69,Undirected,1
480,53,69,Undirected,1
481,186,147,Undirected,5
482,147,53,Undirected,3
483,42,53,Undirected,1
484,53,41,Undirected,5
485,197,120,Undirected,1
486,78,53,Undirected,1
487,98,173,Undirected,2
488,73,134,Undirected,1
489,156,180,Undirected,1
490,48,117,Undirected,1
491,86,173,Undirected,1
492,148,173,Undirected,3
493,148,129,Undirected,1
494,64,173,Undirected,3
495,64,41,Undirected,1
496,129,53,Undirected,1
497,159,106,Undirected,1
498,106,173,Undirected,1
499,150,159,Undirected,1
500,5,12,Undirected,2
501,5,42,Undirected,3
502,12,42,Undirected,2
503,41,96,Undirected,1
504,12,41,Undirected,1
505,138,41,Undirected,1
506,173,122,Undirected,1
507,83,81,Undirected,2
508,83,175,Undirected,1
509,35,37,Undirected,542
510,48,4,Undirected,1
511,19,37,Undirected,1
512,15,4,Undirected,1
513,4,19,Undirected,1
514,98,189,Undirected,4
515,98,135,Undirected,2
516,48,70,Undirected,1
517,150,36,Undirected,1
518,141,19,Undirected,1
519,12,105,Undirected,8
520,12,53,Undirected,1
521,135,53,Undirected,1
522,37,53,Undirected,1
523,64,53,Undirected,1
524,147,105,Undirected,3
525,147,68,Undirected,1
526,105,68,Undirected,1
527,148,68,Undirected,4
528,156,68,Undirected,1
529,186,68,Undirected,1
530,17,148,Undirected,1
531,105,120,Undirected,2
532,105,173,Undirected,6
533,105,172,Undirected,1
534,185,19,Undirected,1
535,159,148,Undirected,1
536,37,85,Undirected,1
537,158,156,Undirected,1
538,85,148,Undirected,1
539,85,68,Undirected,1
540,19,72,Undirected,1
541,189,150,Undirected,2
542,145,175,Undirected,2
543,12,23,Undirected,1
544,12,85,Undirected,1
545,12,31,Undirected,3
546,85,31,Undirected,1
547,40,47,Undirected,1
548,139,31,Undirected,1
549,120,5,Undirected,1
550,67,103,Undirected,1
551,183,156,Undirected,3
552,147,73,Undirected,1
553,5,23,Undirected,1
554,156,150,Undirected,1
555,156,42,Undirected,1
556,48,156,Undirected,1
557,4,173,Undirected,1
558,5,19,Undirected,3
559,189,63,Undirected,1
560,42,19,Undirected,1
561,73,111,Undirected,1
562,81,126,Undirected,1
563,156,126,Undirected,2
564,84,67,Undirected,1
565,67,11,Undirected,3
566,12,86,Undirected,1
567,51,186,Undirected,1
568,21,156,Undirected,1
569,173,156,Undirected,1
570,66,87,Undirected,1
571,66,26,Undirected,1
572,87,26,Undirected,1
573,61,135,Undirected,1
574,137,44,Undirected,1
